crypto_pair,sell_drop_percent,trigger_percent,initial_capital,final_capital,buy_hold_return,trade_count,max_drawdown,sharpe_ratio,in_tade
ALGO-USD,0.005,0.07,1000,1003.4414297187378,765.3882444609249,15,-0.6677540072052147,0.021222652896858048,True
YFI-USD,0.02,0.03,1000,870.3716675786025,661.9611953225619,9,-0.5055718538847277,0.007840513941580115,True
VTHO-USD,0.02,0.03,1000,713.9228517865023,497.0860926696913,4,-0.6858590453364484,0.025598884737146256,True
MDT-USD,0.015,0.05,1000,419.78176740321834,197.97777742683155,6,-0.7234448184577109,-0.027810776620164627,True
AEFES.IS,0.025,0.01,1000,651.8127311452307,670.2579063567958,2,-0.5468486024046672,-0.037709428618650426
AKBNK.IS,0.025,0.03,1000,1433.6786799695094,854.7292141343618,12,-0.1731726334238813,0.08119785338688651
ASELS.IS,0.025,0.03,1000,2083.9878130361963,2228.804554533019,10,-0.17900887888078684,0.1467585726845614
ASTOR.IS,0.005,0.07,1000,765.8563032968026,909.0047537998,2,-0.2872422659069162,-0.0650084341074274
BIMAS.IS,0.025,0.01,1000,1005.6348821150452,1055.0729966944564,3,-0.35634814026211825,0.01290061186097777
CIMSA.IS,0.025,0.03,1000,1401.0472209746515,1662.4663662223245,9,-0.22226129810188214,0.06665815508835718
EKGYO.IS,0.02,0.03,1000,1527.8738539500582,1730.8558206619766,10,-0.3165779111074145,0.07738239232996509
ENKAI.IS,0.025,0.01,1000,1338.0358822948008,1553.0523633519656,12,-0.17400382285452495,0.059097276545240766
EREGL.IS,0.025,0.03,1000,1029.3827768684023,952.4959622412545,3,-0.23993670184745847,0.015579071055731824
FROTO.IS,0.015,0.01,1000,1106.6251062387223,984.8905478295361,4,-0.24876011020380148,0.028505802624951507
GARAN.IS,0.025,0.01,1000,1446.143435115447,1096.1758158046966,8,-0.24443620353166445,0.07564709061582206
HEKTS.IS,0.025,0.01,1000,232.5926003632722,210.73826746942575,1,-0.7788461606286576,-0.08180347298357049
ISCTR.IS,0.02,0.01,1000,787.6498936876823,704.1964278724508,4,-0.3844974771477704,-0.02770070340571532
KCHOL.IS,0.025,0.03,1000,780.5016590300578,668.3443745084421,3,-0.32310596922044676,-0.03745507197672358
KOZAL.IS,0.02,0.03,1000,1362.0994876772402,1149.295794322978,12,-0.23732984946867428,0.07133163062294384
KRDMD.IS,0.025,0.03,1000,924.0375431423056,771.2418329171345,6,-0.23971467019545667,-0.005553233654844335
MGROS.IS,0.025,0.01,1000,942.6405998494122,990.5905864200485,5,-0.3228298644191581,0.0008658685100103754
PETKM.IS,0.01,0.01,1000,757.8056142009593,784.7091830070622,8,-0.3658094336323351,-0.0463095068404261
PGSUS.IS,0.02,0.03,1000,1478.346815138314,1207.5471698113208,10,-0.15268065454128488,0.08790788497886715
SAHOL.IS,0.02,0.01,1000,808.7699771084204,820.9696009696355,4,-0.3263635511269999,-0.022975544142884215
SASA.IS,0.015,0.01,1000,571.1204910927993,580.1928110507869,3,-0.45911035865174793,-0.0806954383779862
SISE.IS,0.025,0.03,1000,667.513116102966,705.805585110212,2,-0.3866874474967868,-0.07945967780232949
TAVHL.IS,0.01,0.01,1000,870.2939171772339,919.7224975222994,6,-0.27896651514485854,-0.01383664620852733
TCELL.IS,0.025,0.03,1000,1221.959257726092,981.6915908342768,11,-0.20106976973342464,0.05676798216013788
THYAO.IS,0.02,0.05,1000,947.6770298854375,914.4000000000001,4,-0.18754925137903844,-0.005205774754895331
TOASO.IS,0.025,0.01,1000,716.8886469226937,648.6003973604346,2,-0.4899806634398977,-0.034649514662344436
TTKOM.IS,0.01,0.01,1000,1413.2777888416122,1214.1047140829664,20,-0.1208915216283787,0.0782235022255841
TUPRS.IS,0.02,0.03,1000,853.5888491004895,855.6443196071605,2,-0.2647734008500668,-0.026697902846698027
ULKER.IS,0.01,0.01,1000,759.4535058519189,775.3273278275502,5,-0.45619711620857556,-0.030132282338849688
YKBNK.IS,0.025,0.05,1000,806.3236546299396,834.5498674775606,2,-0.3691426779913912,-0.019307944459289163
